id,user_id,platform,platform_id,investment_type,asset_class,project_name,company_name,isin,invested_amount,annual_rate,duration_months,capital_repaid,remaining_capital,monthly_payment,pru,investment_date,signature_date,expected_end_date,actual_end_date,status,is_delayed,is_short_term,created_at,updated_at
80056282-b678-4ed5-8b7c-9bc6e27e1387,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,La Première Brique,,crowdfunding,real_estate,Le Arnold,Le Arnold,,500.00,12.00,24,0.00,500.00,,,2025-02-14,2025-02-14,2027-02-28,,active,false,false,2025-07-13 02:16:57.229817+00,2025-07-13 02:16:57.229817+00
19a17040-590e-402c-a38e-fb244b41e57f,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,La Première Brique,,crowdfunding,real_estate,Le Cèdre,Le Cèdre,,505.00,12.00,24,0.00,505.00,,,2024-08-01,2024-07-31,2026-08-15,,active,false,false,2025-07-13 02:16:57.229817+00,2025-07-13 02:16:57.229817+00
670c9cdc-532c-4664-a924-938a34086871,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,La Première Brique,,crowdfunding,real_estate,Le Cayenne,Le Cayenne,,500.00,12.00,3,0.00,500.00,,,2024-03-11,2024-03-11,2025-07-19,,completed,false,false,2025-07-13 02:16:57.229817+00,2025-07-13 02:16:57.229817+00
130d67a1-5cae-4778-83c0-26eb124387b1,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,La Première Brique,,crowdfunding,real_estate,Le Raisin,Le Raisin,,500.00,12.10,3,0.00,500.00,,,2023-06-20,2023-06-20,2024-09-30,,completed,false,false,2025-07-13 02:16:57.229817+00,2025-07-13 02:16:57.229817+00
52bd347d-0d6b-4c7a-939e-f9b179852f73,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,La Première Brique,,crowdfunding,real_estate,L'Iliade,L'Iliade,,500.00,12.20,8,0.00,500.00,,,2023-10-25,2023-10-25,2024-11-02,,completed,false,false,2025-07-13 02:16:57.229817+00,2025-07-13 02:16:57.229817+00
0cdeb64d-4c35-4c28-a080-a0f6d8a49779,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,La Première Brique,,crowdfunding,real_estate,Le Vitton,Le Vitton,,500.00,12.00,12,0.00,500.00,,,2024-05-01,2024-04-30,2025-07-13,,completed,false,false,2025-07-13 02:16:57.229817+00,2025-07-13 02:16:57.229817+00
6642d8f5-2c1c-4041-b794-977fcb3aaf1a,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,La Première Brique,,crowdfunding,real_estate,Le Cuivre,Le Cuivre,,500.00,14.73,22,0.00,500.00,,,2024-07-19,2024-07-19,2026-06-02,,delayed,true,false,2025-07-13 02:16:57.229817+00,2025-07-13 02:16:57.229817+00
865d0ce5-809b-4b75-a683-94091ac9d58e,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,La Première Brique,,crowdfunding,real_estate,L'Isoir,L'Isoir,,500.00,12.00,42,0.00,500.00,,,2022-07-25,2022-07-25,2026-01-29,,delayed,true,false,2025-07-13 02:16:57.229817+00,2025-07-13 02:16:57.229817+00
9a4185bb-ea34-452d-87e3-45302a91560d,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,La Première Brique,,crowdfunding,real_estate,"L'Olive ","L'Olive ",,3.00,14.45,24,0.00,3.00,,,2024-02-23,2024-02-24,2026-03-05,,delayed,true,false,2025-07-13 02:16:57.229817+00,2025-07-13 02:16:57.229817+00
aaec9bb8-e126-4a63-9c55-da83140ed3cf,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,La Première Brique,,crowdfunding,real_estate,"La Plumeria ","La Plumeria ",,500.00,12.67,36,0.00,500.00,,,2023-02-10,2023-02-10,2026-02-15,,delayed,true,false,2025-07-13 02:16:57.229817+00,2025-07-13 02:16:57.229817+00
5335f102-6449-48bd-bc1b-f89023260ece,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,La Première Brique,,crowdfunding,real_estate,Le Canard,Le Canard,,500.00,13.64,42,0.00,500.00,,,2022-08-29,2022-08-29,2026-03-05,,delayed,true,false,2025-07-13 02:16:57.229817+00,2025-07-13 02:16:57.229817+00
