Nature de la transaction;Moyen de paiement;D‚tails;Montant;Statut;Date d?ex‚cution
Cr‚dit du compte;Carte de cr‚dit;;500,00 ?;R‚ussi;10/08/2023 19:11:53
Souscription au projet Le Gaillard ;Transfert;;-500,00 ?;R‚ussi;07/07/2023 10:00:58
Cr‚dit du compte;Carte de cr‚dit;;500,00 ?;R‚ussi;04/07/2023 19:12:59
Souscription au projet Le Raisin;Transfert;;-500,00 ?;R‚ussi;20/06/2023 10:00:45
Cr‚dit du compte;Carte de cr‚dit;;25,00 ?;R‚ussi;12/06/2023 18:58:21
CSG/CRDS;Transfert;;-0,94 ?;R‚ussi;12/06/2023 16:11:40
Remboursement mensualit‚ n§1 li‚e au projet Le Windsor;Transfert;;476,06 ?;R‚ussi;12/06/2023 16:11:40
Souscription au projet L'Ange;Transfert;;-500,00 ?;R‚ussi;24/05/2023 10:01:49
Cr‚dit du compte;Carte de cr‚dit;;500,00 ?;R‚ussi;24/05/2023 09:49:21
Souscription au projet Le Windsor;Transfert;;-500,00 ?;R‚ussi;28/04/2023 10:02:52
Souscription au projet Le H‚risson;Transfert;;-900,00 ?;R‚ussi;26/04/2023 10:01:29
Annulation de la souscription au projet Canceled - Le Windsor;Transfert;;600,00 ?;R‚ussi;03/04/2023 14:53:27
Cr‚dit du compte;Carte de cr‚dit;;800,00 ?;R‚ussi;28/03/2023 07:06:35
Souscription au projet Canceled - Le Windsor;Transfert;;-600,00 ?;R‚ussi;17/03/2023 10:22:28
Cr‚dit du compte;Carte de cr‚dit;;600,00 ?;R‚ussi;25/02/2023 16:48:10
Souscription au projet La Plumeria ;Transfert;;-500,00 ?;R‚ussi;10/02/2023 16:11:04
Annulation de la souscription au projet L'Onze;Transfert;;500,00 ?;R‚ussi;30/01/2023 16:31:09
Souscription au projet L'Onze;Transfert;;-500,00 ?;R‚ussi;30/01/2023 16:09:09
Cr‚dit du compte;Carte de cr‚dit;;372,00 ?;R‚ussi;15/01/2023 14:15:16
CSG/CRDS;Transfert;;-3,94 ?;R‚ussi;14/01/2023 09:44:11
Remboursement mensualit‚ n§5 li‚e au projet Le Quattuor;Transfert;;132,14 ?;R‚ussi;14/01/2023 09:44:11
Souscription au projet L'Envol;Transfert;;-500,00 ?;R‚ussi;08/11/2022 14:00:39
Cr‚dit du compte;Carte de cr‚dit;;500,00 ?;R‚ussi;06/09/2022 07:38:19
Souscription au projet Le Canard;Transfert;;-500,00 ?;R‚ussi;29/08/2022 14:00:08
Cr‚dit du compte;Carte de cr‚dit;;500,00 ?;R‚ussi;19/08/2022 17:04:45
Cr‚dit du compte;Carte de cr‚dit;;500,00 ?;chec;18/08/2022 20:00:27
Souscription au projet Le Quattuor;Transfert;;-500,00 ?;R‚ussi;08/08/2022 14:05:17
Cr‚dit du compte;Carte de cr‚dit;;500,00 ?;R‚ussi;27/07/2022 11:48:56
Souscription au projet L'Isoir;Transfert;;-500,00 ?;R‚ussi;25/07/2022 14:00:47
Cr‚dit du compte;Virement bancaire;;500,00 ?;R‚ussi;05/07/2022 03:30:15
